id,financial_year,council,Population,premises_residential,premises_with_garbage_service_residential,garbage_collected_total_tonnes,premises_with_kerbside_recycling_service_residential,kerbside_recycling_total_collected_tonnes,kerbside_recycling_total_recycled_tonnes,kerbside_recycling_total_contamination_tonnes,kerbside_recycling_glass_all_collected_tonnes,kerbside_recycling_glass_all_recycled_tonnes,kerbside_recycling_cans_aluminium_collected_tonnes,kerbside_recycling_cans_aluminium_recycled_tonnes,kerbside_recycling_cans_steel_collected_tonnes,kerbside_recycling_cans_steel_recycled_tonnes,kerbside_recycling_paper_all_collected_tonnes,kerbside_recycling_paper_all_recycled_tonnes,kerbside_recycling_plastics_all_collected_tonnes,kerbside_recycling_plastics_all_recycled_tonnes,kerbside_organics_premises_residential,kerbside_organics_collected_tonnes,kerbside_organics_processed_tonnes,premises_with_access_to_hardwaste_service_residential,hardwaste_collected_tonnes,hardwaste_disposed_tonnes
0,2010,Alpine Shire,12866.0,5927.0,5627.0,2452.0,5708.0,1735.0,1222.0,513.0,332.0,332.0,11.0,11.0,69.0,69.0,664.0,664.0,146.0,146.0,0.0,0.0,0.0,0,0.0,0.0
1,2010,Ararat Rural City,12026.0,4801.0,4329.0,1843.0,3394.0,942.0,848.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2,2010,Ballarat City,98000.0,39635.0,39635.0,20207.0,39635.0,11688.0,11207.0,481.0,3053.0,2913.0,112.0,112.0,224.0,224.0,7178.0,6892.0,1121.0,1066.0,0.0,0.0,0.0,0,0.0,0.0
3,2010,Banyule City,123521.0,47798.0,47798.0,20556.0,45386.0,15097.0,13805.0,1292.0,4336.0,3965.0,66.0,60.0,384.0,351.0,9235.0,8445.0,1076.0,984.0,47798.0,12684.0,12684.0,47798,1905.0,1417.0
4,2010,Bass Coast Shire,30974.0,26705.5,22373.0,7106.0,22373.0,4815.0,3630.0,1185.0,845.0,845.0,60.0,60.0,120.0,120.0,2360.0,2360.0,245.0,245.0,0.0,0.0,0.0,0,0.0,0.0
5,2010,Baw Baw Shire,42921.0,20324.0,16036.0,7030.0,16036.0,4244.0,3903.859,340.141,1046.435,1046.435,48.318,48.318,152.91,152.91,2497.32,2497.372,162.737,162.737,15780.0,3139.0,3139.0,16036,61.0,46.0
6,2010,Bayside City,92800.0,37500.0,38000.0,19800.0,37500.0,14185.0,14185.0,1203.395,3688.0,3688.0,142.0,142.0,284.0,284.0,8724.0,8724.0,1348.0,1348.0,27000.0,9900.0,9900.0,38000,1800.0,1500.0
7,2010,Benalla Rural City,14000.0,6837.0,6856.0,3530.1,6837.0,1855.6,1670.04,185.56,331.85,331.85,16.22,16.22,32.25,32.25,622.17,622.17,62.37,62.37,0.0,0.0,0.0,0,0.0,0.0
8,2010,Boroondara City,167000.0,61900.0,61900.0,36223.0,61900.0,22810.8,22810.8,0.0,5930.8,5930.8,228.1,228.1,456.2,456.2,14029.0,14029.0,2167.0,2167.0,41280.0,18582.0,18582.0,61900,2666.44,2279.44
9,2010,Brimbank City,189386.0,64988.0,64988.0,40116.0,64988.0,18104.0,15388.0,2716.0,3156.987,3156.987,0.0,0.0,0.0,0.0,9169.0,9169.0,1704.0,1704.0,27891.0,10508.0,10508.0,64988,2791.0,2791.0
10,2010,Buloke Shire,7078.0,5598.0,2485.0,1508.997,2485.0,697.0,662.37,34.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400,0.0,0.0
11,2010,Campaspe Shire,38983.0,14631.0,16235.0,9107.0,15528.0,4371.0,3876.0,495.0,882.3,882.3,42.97,42.97,85.38,85.38,1663.26,1663.26,109.28,109.28,2100.0,1196.0,1196.0,0,0.0,0.0
12,2010,Cardinia Shire,68641.0,26071.0,27092.0,14746.0,27162.0,8006.87,6629.69,1377.18,1945.67,1945.67,0.0,0.0,0.0,0.0,4187.59,4187.59,248.21,248.21,10217.0,4062.0,4062.0,27787,2897.0,2897.0
13,2010,Casey City,255659.0,97251.0,92844.0,50047.0,96950.0,26327.74,24484.0,1843.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80191.0,35869.82,35869.82,97251,8924.81,8924.81
14,2010,Central Goldfields Shire,12899.0,6761.0,5631.0,2438.0,5631.0,1471.0,1397.5,73.5,338.3,321.4,14.7,14.0,29.4,27.9,1029.7,978.2,58.8,55.9,702.0,180.0,180.0,5031,30.0,15.0
15,2010,Colac Otway Shire,22097.0,11500.0,7980.0,4463.0,7980.0,1842.0,1842.0,169.867,478.92,478.92,18.42,18.42,36.84,36.84,1132.83,1132.83,174.99,174.99,7980.0,1909.0,1909.0,0,0.0,0.0
16,2010,Corangamite Shire,17188.0,5333.0,4422.0,2188.0,4422.0,1277.3,1086.45,190.86,324.6,324.6,0.0,0.0,0.0,0.0,640.3,640.3,67.74,67.74,5075.0,1697.0,1697.0,0,0.0,0.0
17,2010,Darebin City,142904.0,57967.0,57967.0,27147.0,57000.0,16085.0,13323.0,2762.0,3916.0,3916.0,57.0,57.0,443.0,443.0,8414.0,8414.0,493.0,493.0,34512.0,11748.0,11748.0,57967,790.0,790.0
18,2010,East Gippsland Shire,43615.0,27645.0,17434.0,6637.59,17434.0,5048.54,4334.68,713.86,703.62,703.62,64.18,64.18,70.52,70.52,3339.78,3339.78,156.58,156.58,14631.0,4234.48,4234.48,0,0.0,0.0
19,2010,Frankston City,130462.0,57697.0,51998.0,23453.7,51998.0,16566.48,13496.51,1613.55,4058.78,3663.46,180.58,162.99,506.94,457.57,9389.89,8475.32,816.71,737.17,29606.0,12618.09,12618.09,55204,4021.04,4021.04
20,2010,Gannawarra Shire,11800.0,4464.0,4464.0,2206.46,4316.0,1388.89,1388.89,112.072,361.11,361.11,13.89,13.89,27.78,27.78,854.17,854.17,131.94,131.94,0.0,0.0,0.0,0,0.0,0.0
21,2010,Glen Eira City,129000.0,51013.0,53013.0,30005.0,50587.0,14663.0,14663.0,0.0,3812.0,3812.0,147.0,147.0,293.0,293.0,9017.0,9017.0,1394.0,1394.0,19545.0,7757.0,7757.0,53013,2286.0,2253.0
22,2010,Glenelg Shire,21249.0,10265.0,7303.0,3014.49,7303.0,1962.53,1290.58,671.95,242.9,159.84,47.08,30.98,83.44,54.91,1314.66,864.23,274.45,180.62,0.0,0.0,0.0,0,0.0,0.0
23,2010,Golden Plains Shire,18575.0,7543.0,7002.0,4600.0,7002.0,2014.8,1883.0,131.8,697.7,691.3,0.0,0.0,0.0,0.0,1590.305555555556,1590.305555555556,286.8944444444444,327.05,0.0,0.0,0.0,0,0.0,0.0
24,2010,Greater Bendigo City,105565.0,42927.0,42927.0,27576.0,42532.0,11056.0,10091.0,965.0,1890.0,1890.0,137.0,137.0,176.0,176.0,7366.0,7366.0,522.0,522.0,0.0,0.0,0.0,0,0.0,0.0
25,2010,Greater Dandenong City,140000.0,48990.0,48859.0,29086.0,48859.0,12590.0,11960.0,630.0,3815.0,3815.0,50.0,50.0,239.0,239.0,7126.0,7126.0,730.0,730.0,48859.0,18067.0,16779.0,48859,2411.76,2411.76
26,2010,Greater Geelong City,236000.0,95000.0,95000.0,40429.0,95000.0,28340.4,26356.6,1983.8,7368.49,7368.49,283.4,283.4,566.81,566.81,17429.32,17429.32,2692.34,2692.34,95000.0,30000.0,30000.0,0,0.0,0.0
27,2010,Greater Shepparton City,63335.0,26581.0,23499.0,12929.0,23499.0,7890.25,7890.25,654.59375,2051.47,2051.47,78.9,78.9,157.8,157.8,4852.51,4852.51,749.57,749.57,15612.0,6187.0,6114.0,0,0.0,0.0
28,2010,Hepburn Shire,15500.0,7400.0,4636.0,2140.0,4848.0,1300.0,1300.0,0.0,377.4,377.4,20.8,20.8,47.3,47.3,755.3,755.3,99.3,99.3,0.0,0.0,0.0,920,22.0,22.0
29,2010,Hindmarsh Shire,6316.0,2340.0,2419.0,1148.0,2340.0,656.733,584.385,8.595,69.559,65.711,12.893,12.893,163.179,161.048,357.235,357.235,53.219,53.219,0.0,0.0,0.0,0,0.0,0.0
30,2010,Hobsons Bay City,88053.0,35444.0,37807.0,20461.08,35435.0,9739.37,9437.75,301.62,2821.59,2821.59,9.73,9.73,233.51,233.51,2957.81,2957.81,3415.1,3415.1,23883.0,7775.0,7407.0,37807,753.3,753.3
31,2010,Horsham Rural City,20232.0,8362.0,8252.0,6021.59,7764.0,1792.87,1604.125,188.745,682.538,568.782,20.015,20.015,42.967,42.967,903.965,860.921,111.44,111.44,0.0,0.0,0.0,0,0.0,0.0
32,2010,Hume City,175002.0,57183.0,57183.0,37585.0,57183.0,16704.0,14507.3,2196.7,4264.8,3688.5,170.4,170.4,382.5,382.5,9407.3,9372.2,1052.4,893.7,16560.0,6178.0,6178.0,57183,3261.0,2700.0
33,2010,Indigo Shire,15525.0,6781.0,6435.0,2889.0,6340.0,1526.0,1471.6,54.4,230.6,230.6,63.7,63.7,78.6,78.6,977.0,977.0,121.7,121.7,1106.0,377.0,377.0,0,0.0,0.0
34,2010,Kingston City,149300.0,60200.0,60100.0,29212.0,59120.0,17180.0,16321.0,859.0,5537.4,5260.52,72.33,68.7,361.88,343.6,10047.59,9545.21,1161.01,1102.96,43700.0,16377.0,12119.0,60100,3218.0,2952.0
35,2010,Knox City,155620.0,56000.0,56000.0,27099.0,56000.0,16817.0,15320.0,1497.0,2523.0,2298.0,1177.0,1074.0,672.0,612.0,10931.0,9958.0,1514.0,1379.0,38458.0,17970.0,17970.0,56000,4697.0,4572.0
36,2010,Latrobe City,75000.0,32632.0,30506.0,14226.0,30506.0,8026.5,6504.0,1522.5,1298.0,1052.0,96.0,78.0,237.0,192.0,5850.0,4739.0,545.5,442.5,29453.0,11008.0,11008.0,30506,25.18,25.18
37,2010,Loddon Shire,8079.0,0.0,3875.0,666.0,3316.0,610.86,610.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,60.0,60.0
38,2010,Macedon Ranges Shire,38360.0,17000.0,13797.0,6934.0,15400.0,4367.45,4367.45,0.0,1135.54,1135.54,43.67,43.67,87.35,87.35,2685.98,2685.98,414.91,414.91,0.0,0.0,0.0,0,0.0,0.0
39,2010,Manningham City,118544.0,43036.0,43036.0,22280.69,43036.0,13593.62,13593.62,0.0,3312.48,3312.48,127.4,127.4,1108.13,1108.13,7835.28,7835.28,1210.33,1210.33,43036.0,17222.65,17222.65,43036,2438.06,1584.74
40,2010,Mansfield Shire,7713.0,5228.0,5228.0,2467.96,5430.0,1287.55,1142.99,144.56,259.84,259.84,12.57,12.57,24.39,24.39,479.5,479.5,47.82,47.82,0.0,0.0,0.0,0,0.0,0.0
41,2010,Maribyrnong City,72896.0,25909.0,26000.0,18880.0,20909.0,8155.0,6444.0,1711.0,2405.717222222223,2357.717222222223,0.0,0.0,0.0,0.0,3795.121111111112,3744.01,631.8683333333333,615.5772222222223,4595.0,1375.0,1375.0,30000,1189.0,1189.0
42,2010,Maroondah City,106469.0,41944.0,41944.0,19823.8,41944.0,12485.0,11361.0,1124.0,3508.4,3508.4,0.0,0.0,0.0,0.0,5708.6,5708.6,842.2,842.2,41944.0,14938.0,14938.0,41944,2814.0,2094.0
43,2010,Melbourne City,100202.0,52501.0,52501.0,20990.58,52501.0,7302.55,6573.0,730.0,2630.44125,2630.44125,0.0,0.0,0.0,0.0,4686.181250000001,4686.181250000001,1113.75,1113.75,0.0,0.0,0.0,52501,346.28,346.28
44,2010,Melton City,118000.0,39100.0,39140.0,20002.0,38539.0,10987.46,10519.46,468.0,2856.74,2716.74,109.87,109.87,219.75,219.75,6757.29,6429.29,1043.81,1043.81,23178.0,6426.0,6011.0,39140,540.0,540.0
45,2010,Merri-Bek City,152000.0,65000.0,61258.0,29240.0,64147.0,16272.69,15807.69,465.0,4230.9,3765.9,162.73,162.73,325.45,325.45,10007.71,10007.71,1545.9,1545.9,33819.0,9647.0,9647.0,65000,2354.0,2192.0
46,2010,Mildura Rural City,53122.0,22933.0,21032.0,10152.0,20154.0,4043.0,3179.0,864.0,618.0,618.0,92.0,92.0,135.0,135.0,4043.0,3179.0,277.0,277.0,0.0,0.0,0.0,0,0.0,0.0
47,2010,Mitchell Shire,35044.0,13052.0,11579.0,5768.26,11579.0,3637.54,3637.54,0.0,945.71,945.71,36.37,36.37,72.75,72.75,2236.98,2236.98,345.73,345.73,0.0,0.0,0.0,0,0.0,0.0
48,2010,Moira Shire,29385.0,12000.0,9400.0,5088.0,12000.0,3485.0,3485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
49,2010,Monash City,177726.0,65594.0,65594.0,27960.0,65594.0,18517.0,17777.0,740.0,4559.1495,4545.449500000001,0.0,0.0,0.0,0.0,8876.777,8851.077000000001,959.2180000000001,956.008,59211.0,20335.0,20335.0,65825,5418.0,4450.0
50,2010,Moonee Valley City,111268.0,44524.0,44028.0,22326.0,43054.0,13588.0,12230.0,1358.0,3145.0,3145.0,0.0,0.0,0.0,0.0,8037.0,8037.0,750.0,750.0,24620.0,8774.0,8774.0,44028,1319.0,1319.0
51,2010,Moorabool Shire,28606.0,10349.0,10344.0,4819.0,10379.0,2957.25,2868.54,88.71,798.6866666666666,758.4466666666666,0.0,0.0,0.0,0.0,1755.728888888889,1640.911111111111,232.2311111111111,232.2311111111111,0.0,0.0,0.0,0,0.0,0.0
52,2010,Mornington Peninsula Shire,150000.0,78636.0,78636.0,28023.0,78636.0,23000.0,21390.0,1610.0,5980.0,5480.0,0.0,0.0,0.0,0.0,14030.0,12920.0,2185.0,2185.0,10130.0,1391.0,1391.0,78636,483.0,483.0
53,2010,Mount Alexander Shire,18421.0,8147.0,6800.0,3350.0,6704.0,1681.0,1596.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
54,2010,Moyne Shire,16684.0,7600.0,4467.0,1535.0,4467.0,1130.0,1050.0,80.0,416.5125,397.725,0.0,0.0,0.0,0.0,583.2222222222222,558.5555555555555,205.2722222222222,191.3277777777778,4467.0,1550.0,0.0,0,0.0,0.0
