UniqueId,FacilityOrSiteName,Owner,ManagementType,InfrastructureType,FacilityStreetAddress,FacilitySuburbLocality,State,Postcode,Latitude,Longitude,BatteriesRechargeable,BatteriesSingleUse,BatteriesLeadAcid,ComputersAndAccessories,MobilePhones,PrinterCartridges,Televisions,ElectricalAppliances,ElectricalAppliancesBatteryOperated
VIC00002,Moonee Valley Transfer Station,Moonee Valley City Council,Drop-off,E-waste drop-off facility,188 Holmes Road,Aberfeldie,VIC,3040,-37.7642345,144.9021359,1,1,0,1,1,1,1,1,1
VIC00004,Officeworks,Officeworks,Drop-off,E-waste drop-off facility,Louis St & Dromana Ave,Airport West,VIC,3042,-37.71335,144.8889173,1,1,0,1,1,1,0,0,0
VIC00025,Ararat Resource Recovery Centre,Ararat Rural City Council,Drop-off,E-waste drop-off facility,Surface Hill Road,Ararat,VIC,3377,-37.191044,143.251694,1,1,0,1,1,1,1,1,1
VIC00029,Officeworks,Officeworks,Drop-off,E-waste drop-off facility,64 Mt Alexander Rd,Ascot Vale,VIC,3031,-37.7846605,144.9382989,1,1,0,1,1,1,0,0,0
VIC00040,Harvey Norman,Harvey Norman,Drop-off,E-waste drop-off facility,294 Main Street,Bairnsdale,VIC,3875,-37.826699,147.6257551,0,0,0,1,0,1,1,0,0
VIC00048,Officeworks,Officeworks,Drop-off,E-waste drop-off facility,116 Creswick Rd,Ballarat,VIC,3350,-37.5549626,143.8547099,1,1,0,1,1,1,0,0,0
VIC00050,The Good Guys,The Good Guys,Drop-off,E-waste drop-off facility,31 Mair Street,Ballarat,VIC,3350,-37.560169,143.8595948,0,0,0,1,0,1,1,0,0
VIC00073,Officeworks,Officeworks,Drop-off,E-waste drop-off facility,"Lot 4, 189 Canterbury Road",Bayswater,VIC,3153,-37.8289451,145.2823006,1,1,0,1,1,1,0,0,0
VIC00077,Beaufort Transfer Station,Pyrenees Shire Council,Drop-off,E-waste drop-off facility,Racecourse Road,Beaufort,VIC,3373,-37.42504,143.39575,1,1,0,1,1,1,1,1,1
VIC00080,Beechworth Transfer Station,Indigo Shire Council,Drop-off,E-waste drop-off facility,1620 Diffey Road,Beechworth,VIC,3747,-36.374737,146.679658,1,1,0,1,1,1,1,1,1
VIC00082,Banyule Waste Recovery Centre,Banyule City Council,Drop-off,E-waste drop-off facility,307-325 Waterdale Road,Bellfield,VIC,3081,-37.7563681,145.0449345,1,1,0,1,1,1,1,1,1
VIC00087,Benalla Resource Recovery Centre,Benalla Rural City Council,Drop-off,E-waste drop-off facility,Old Farnley Road,Benalla,VIC,3672,-36.511326,146.001273,1,1,0,1,1,1,1,1,1
VIC00089,The Good Guys,The Good Guys,Drop-off,E-waste drop-off facility,107 Williamson Street,Bendigo,VIC,3550,-36.7594336,144.2813701,0,0,0,1,0,1,1,0,0
VIC00094,Officeworks,Officeworks,Drop-off,E-waste drop-off facility,297-305 Hargreaves Mall,Bendigo,VIC,3550,-36.7599561,144.2803856,1,1,0,1,1,1,0,0,0
VIC00122,Officeworks,Officeworks,Drop-off,E-waste drop-off facility,263 Middleborough Road,Box Hill South,VIC,3128,-37.835659,145.1345657,1,1,0,1,1,1,0,0,0
VIC00129,Harvey Norman,Harvey Norman,Drop-off,E-waste drop-off facility,61 Leather Street,Breakwater,VIC,3219,-38.1852809,144.3792597,0,0,0,1,0,1,1,0,0
VIC00134,The Good Guys,The Good Guys,Drop-off,E-waste drop-off facility,681 Nepean Highway,Brighton,VIC,3186,-37.9162719,145.0189109,0,0,0,1,0,1,1,0,0
