UniqueId,FacilityOrSiteName,Owner,ManagementType,InfrastructureType,FacilityStreetAddress,FacilitySuburbLocality,State,Postcode,Latitude,Longitude,BatteriesRechargeable,BatteriesSingleUse,BatteriesLeadAcid,ComputersAccessories,MobilePhones,PrinterCartridges,Televisions,ElectricalAppliances,ElectricalAppliancesBatteryOperated,ChemicalDrums,Mercury,WhiteGoods
VIC00007,Alexandra Landfill,Murrindindi Shire Council,Disposal,Landfill – putrescible,122 Mount Pleasant Road,Alexandra,VIC,3714,-37.210741,145.722375,1,1,1,1,1,1,1,1,1,0,0,1
VIC00020,Anglesea Landfill,Surf Coast Shire Council,Disposal,Landfill – putrescible,50 Coalmine Road,Anglesea,VIC,3230,-38.38506,144.19862,1,1,1,1,1,1,1,1,1,0,0,1
VIC00087,Benalla Landfill,Benalla Rural City Council,Disposal,Landfill – putrescible,Old Farnley Road,Benalla,VIC,3672,-36.5114179999999,145.998539,1,1,1,1,1,1,1,1,1,0,0,1
VIC00108,Birchip Landfill,Buloke Shire Council,Disposal,Landfill – putrescible,Birchip-Corack Road,Birchip,VIC,3483,-36.0094809999999,142.9362325,1,1,1,1,1,1,1,1,1,0,0,1
VIC00116,Boort Landfill,Loddon Shire Council,Disposal,Landfill – putrescible,Boort Quambatook Road,Boort,VIC,3537,-36.105948,143.722823,1,1,1,1,1,1,1,1,1,0,0,1
VIC00119,Bowser Landfill,Wangaratta Rural City Council,Disposal,Landfill – putrescible,5 Coleman Road,Bowser,VIC,3678,-36.3181915,146.3671645,1,1,1,1,1,1,1,1,1,0,0,1
VIC00167,Sago Hill Quarry,FMP Group (Australia) Pty Ltd,Disposal,Landfill – putrescible,726 Bells Road,Bunkers Hill,VIC,3352,-37.5833129879999,143.73828125,1,1,1,1,1,1,1,1,1,0,0,1
VIC00188,Cann River Landfill,East Gippsland Shire Council,Disposal,Landfill – putrescible,20 Coast Road,Cann River,VIC,3890,-37.5760521,149.1273861,1,1,1,1,1,1,1,1,1,0,0,1
VIC00207,Casterton Landfill,Glenelg Shire Council,Disposal,Landfill – putrescible,291 Bahgallah Road,Casterton,VIC,3311,-37.6108,141.38945,1,1,1,1,1,1,1,1,1,0,0,1
VIC00208,Castlemaine Landfill,Mount Alexander Shire Council,Disposal,Landfill – putrescible,Sluicers Road,Castlemaine,VIC,3450,-37.0774489999999,144.192531,1,1,1,1,1,1,1,1,1,0,0,1
VIC00215,Charlton Landfill,Buloke Shire Council,Disposal,Landfill – putrescible,212 Charlton - St Arnaud Road,Charlton,VIC,3525,-36.284343,143.335486,1,1,1,1,1,1,1,1,1,0,0,1
VIC00227,Cleanaway Carroll Road Landfill,Cleanaway,Disposal,Landfill – putrescible,Carroll Road,Clarinda,VIC,3169,-37.9328594,145.0937269,1,1,1,1,1,1,1,1,1,0,0,1
VIC00239,Cobram Landfill,Moira Shire Council,Disposal,Landfill – putrescible,56 Pye Road,Cobram,VIC,3644,-35.9554116,145.6825279,1,1,1,1,1,1,1,1,1,0,0,1
VIC00240,Cobungra Landfill,Mount Hotham Alpine Resort Management Board,Disposal,Landfill – putrescible,Great Alpine Road,Cobungra,VIC,3898,-37.0828705,147.37945,1,1,1,1,1,1,1,1,1,0,0,1
VIC00268,Corryong Landfill ,Towong Shire Council,Disposal,Landfill – putrescible,Sugarloaf Road,Corryong,VIC,3707,-37.9927719999999,145.427179,1,1,1,1,1,1,1,1,1,0,0,1
VIC00269,Cosgrove Landfill,Greater Shepparton City Council,Disposal,Landfill – putrescible,Cosgrove Lemnos Road,Cosgrove,VIC,3631,-36.3474024999999,145.599398,1,1,1,1,1,1,1,1,1,0,0,1
VIC00280,SBI Landfill,SBI Group,Disposal,Landfill – inert,950 Ballarto Road,Cranbourne,VIC,3977,-38.1282889,145.2607425,1,1,1,1,1,1,1,1,1,0,0,1
VIC00291,Killarney Landfill,Moyne Shire Council,Disposal,Landfill – inert,12 Badhams Road,Crossley,VIC,3283,-38.31809,142.29754,1,1,1,1,1,1,1,1,1,0,0,1
