UniqueId,FacilityOrSiteName,Owner,ManagementType,InfrastructureType,FacilityStreetAddress,FacilitySuburbLocality,State,Postcode,Latitude,Longitude,ChemicalDrums,Lead,Mercury
VIC00038,Bairnsdale Scrap Metal,Bairnsdale Scrap Metal,Recycling,Metals recovery facility,14 Kyle Street,Bairnsdale,VIC,3875,-37.843572,147.611273,1,1,0
VIC00039,East Gippsland Scrap Metal Recyclers & Bargain Centre,East Gippsland Scrap Metal Recyclers & Bargain Centre,Recycling,Metals recovery facility,29 Lawless Street,Bairnsdale,VIC,3875,-37.841714,147.587345,1,1,0
VIC00068,Recycal,Recycal,Recycling,Metals recovery facility,242 Canterbury Road,Bayswater,VIC,3153,-37.829176,145.277089,1,1,0
VIC00080,Beechworth Transfer Station,Indigo Shire Council,Recycling,Metals recovery facility,1620 Diffey Road,Beechworth,VIC,3747,-36.374737,146.679658,0,1,0
VIC00087,Benalla Resource Recovery Centre,Benalla Rural City Council,Recycling,Metals recovery facility,Old Farnley Road,Benalla,VIC,3672,-36.511326,146.001273,0,1,0
VIC00144,Sims Brooklyn,Sims Ltd,Recycling,Metals recovery facility,44-60 McDonald Road,Brooklyn,VIC,3012,-37.8100567,144.8481565,1,1,0
VIC00176,Sims Broadmeadows,Sims Ltd,Recycling,Metals recovery facility,1904 Hume Highway,Campbellfield,VIC,3061,-37.6597531,144.9544295,1,1,0
VIC00182,Recycal,Recycal,Recycling,Metals recovery facility,5-11 Reo Crescent,Campbellfield,VIC,3061,-37.6469803,144.9383423,1,1,0
VIC00235,Yarra Recycling Centre,Yarra City Council,Recycling,Metals recovery facility,168 Roseneath Street,Clifton Hill,VIC,3068,-37.7934248,145.0013537,0,1,0
VIC00268,Corryong Transfer Station,Towong Shire Council,Recycling,Metals recovery facility,Sugarloaf Road,Corryong,VIC,3707,-36.220985,147.890697,0,1,0
VIC00275,InfraBuild Recycling,InfraBuild Recycling,Recycling,Metals recovery facility,360 Hume Highway,Craigieburn,VIC,3064,-37.6110934,144.9477189,1,1,0
VIC00302,InfraBuild Recycling,InfraBuild Recycling,Recycling,Metals recovery facility,21 Elliott Road,Dandenong,VIC,3175,-38.02321,145.2107355,1,1,0
VIC00322,Future Recycling Dandenong,Future Recycling,Recycling,Metals recovery facility,194-204 Ordish Road,Dandenong South,VIC,3175,-38.0317402,145.19356,1,1,0
VIC00369,KB Auto Salvage & Recycling,KB Auto Salvage & Recycling,Recycling,Metals recovery facility,30 Weerong Road,Drouin,VIC,3818,-38.118986,145.831721,1,1,0
VIC00372,Drouin Waste Recyclers,Drouin Waste Recyclers,Recycling,Metals recovery facility,81 Weerong Road,Drouin,VIC,3818,-38.116549,145.831578,1,1,0
VIC00384,InfraBuild Recycling,InfraBuild Recycling,Recycling,Metals recovery facility,6 Baldock Court,Eaglehawk,VIC,3556,-36.7236771,144.2455072,1,1,0
VIC00398,Eldorado Transfer Station,Wangaratta Rural City Council,Recycling,Metals recovery facility,Woolshed Road,Eldorado,VIC,3746,-36.301597,146.637923,0,1,0
VIC00438,"Jackson, Maria C","Jackson, Maria C",Recycling,Metals recovery facility,Ameys Track,Foster,VIC,3960,-38.63992,146.222733,1,1,0
VIC00454,Aussie Drum Furniture,Aussie Drum Furniture,Recycling,Metals recovery facility,730 Manley Road,Gillieston,VIC,3616,-36.212619,145.125248,1,1,0
VIC00480,Future Recycling Hallam ,Future Recycling,Recycling,Metals recovery facility,57 Star Crescent,Hallam,VIC,3164,-38.0170233,145.2686123,1,1,0
VIC00504,Heyfield Scrap Metal Merchants,Heyfield Scrap Metal Merchants,Recycling,Metals recovery facility,Firebrace Road,Heyfield,VIC,3858,-37.976796,146.780465,1,1,0
VIC00522,Manhari Metals,Manhari Metals,Recycling,Metals recovery facility,52 Henty Highway,Horsham,VIC,3400,-36.737979,142.204591,1,1,0
VIC00571,Loch Scrap Metal Pty Ltd,Loch Scrap Metal Pty Ltd,Recycling,Metals recovery facility,3 Adkins Street,Korumburra,VIC,3950,-38.427264,145.809139,1,1,0
VIC00605,Norstar Steel Recyclers,Norstar Steel Recyclers,Recycling,Metals recovery facility,191-205 Dohertys Road,Laverton North,VIC,3026,-37.8304627,144.7775976,1,1,0
