UniqueId,FacilityOrSiteName,Owner,ManagementType,InfrastructureType,FacilityStreetAddress,FacilitySuburbLocality,State,Postcode,Latitude,Longitude,BatteriesRechargeable,BatteriesSingleUse,BatteriesLeadAcid,ComputersAccessories,MobilePhones,PrinterCartridges,Televisions,ElectricalAppliances,ElectricalAppliancesBatteryOperated,ChemicalDrums,Mercury,WhiteGoods
VIC00002,Moonee Valley Transfer Station,Moonee Valley City Council,Drop-off,Transfer station,188 Holmes Road,Aberfeldie,VIC,3040,-37.7646544999999,144.9025485,1,1,1,1,1,1,1,1,1,0,0,1
VIC00006,Alexandra Resource Recovery Centre,Murrindindi Shire Council,Drop-off,Transfer station,119 Mount Pleasant Road,Alexandra,VIC,3714,-37.123036,145.431853,1,1,1,1,1,1,1,1,1,0,0,1
VIC00014,Calleja Transfer Station,Calleja Group,Drop-off,Transfer station,30 Baldwin Road,Altona North,VIC,3025,-37.8406215,144.8191073,1,1,1,1,1,1,1,1,1,0,0,1
VIC00018,Alvie Resource Recovery Centre,Colac Otway Shire Council,Drop-off,Transfer station,977 Corangamite Lake Road,Alvie,VIC,3249,-38.25136,143.52228,1,1,1,1,1,1,1,1,1,0,0,1
VIC00019,Anglers Rest Trailer,East Gippsland Shire Council,Drop-off,Transfer station,Callaghan-McNamara Road,Anglers Rest,VIC,3898,-36.993161,147.474107,1,1,1,1,1,1,1,1,1,0,0,1
VIC00020,Anglesea Landfill,Surf Coast Shire Council,Drop-off,Transfer station,50 Coalmine Road,Anglesea,VIC,3230,-38.3843,144.205,1,1,1,1,1,1,1,1,1,0,0,1
VIC00021,Apollo Bay Resource Recovery Centre,Colac Otway Shire Council,Drop-off,Transfer station,10-18 Arthur Court,Apollo Bay,VIC,3233,-38.7558988,143.6548224,1,1,1,1,1,1,1,1,1,0,0,1
VIC00022,Apsley Transfer Station,West Wimmera Shire Council,Drop-off,Transfer station,Apsley-Casterton Road,Apsley,VIC,3319,-36.974928,141.070452,1,1,1,1,1,1,1,1,1,0,0,1
VIC00025,Ararat Resource Recovery Centre,Ararat Rural City Council,Drop-off,Transfer station,Surface Hill Road,Ararat,VIC,3377,-37.29078,142.929638,1,1,1,1,1,1,1,1,1,0,0,1
VIC00026,Ardmona Resource Recovery Centre,Greater Shepparton City Council,Drop-off,Transfer station,770 Turnbull Road,Ardmona,VIC,3629,-36.241312,145.184602,1,1,1,1,1,1,1,1,1,0,0,1
VIC00032,Avenel Resource Recovery Centre,Strathbogie Shire Council,Drop-off,Transfer station,145 Monea Road,Avenel,VIC,3664,-36.524419,145.143062,1,1,1,1,1,1,1,1,1,0,0,1
VIC00033,Avoca Transfer Station,Pyrenees Shire Council,Drop-off,Transfer station,Russell Street,Avoca,VIC,3467,-37.087216,143.482997,1,1,1,1,1,1,1,1,1,0,0,1
VIC00037,Bacchus Marsh Transfer Station,Moorabool Shire Council,Drop-off,Transfer station,Moore Street South,Bacchus Marsh,VIC,3340,-37.691544,144.423131,1,1,1,1,1,1,1,1,1,0,0,1
VIC00045,Bin Skips Waste & Recycling,Bin Skips Waste & Recycling,Drop-off,Transfer station,By Appointment Only,Bairnsdale,VIC,3875,-37.8366265,147.5993569,1,1,1,1,1,1,1,1,1,0,0,1
VIC00047,Ballan Transfer Station,Moorabool Shire Council,Drop-off,Transfer station,Monteville Lane,Ballan,VIC,3342,-37.60205,144.269757,1,1,1,1,1,1,1,1,1,0,0,1
VIC00055,Ballarat Transfer Station,Ballarat City Council,Drop-off,Transfer station,Gillies Street,Ballarat,VIC,3350,-37.566292,143.814864,1,1,1,1,1,1,1,1,1,0,0,1
VIC00058,Balmoral Resource Recovery Centre,Southern Grampians Shire Council,Drop-off,Transfer station,55 Hamilton Natimuk Road,Balmoral,VIC,3407,-37.23889,141.83601,1,1,1,1,1,1,1,1,1,0,0,1
VIC00064,Barmah Transfer Station,Moira Shire Council,Drop-off,Transfer station,Corner Moira Lakes Road & Racecourse Road,Barmah,VIC,3639,-36.002459,144.574885,1,1,1,1,1,1,1,1,1,0,0,1
